,title,location,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent,description_length,company_profile_length,requirements_length,benefits_length
12835,Interactive Designer,GR,0,1,1,Full-time,Mid-Senior level,,Marketing and Advertising,Design,0,1003.0,1060.0,670.0,2342.0
12836,IT Security Analyst,US,0,0,0,Full-time,,,Information Technology and Services,,0,670.0,228.0,,
12837,Product,GB,0,1,1,,,,,,0,414.0,672.0,,
12838,Branch Associate,US,0,1,1,Full-time,Associate,High School or equivalent,Banking,Customer Service,0,615.0,665.0,531.0,446.0
12839,Translation Specialist,US,0,1,1,Full-time,,,,,0,1656.0,745.0,720.0,281.0
12840,Operations Specialists,EE,0,1,0,,,,,,0,1195.0,311.0,369.0,342.0
12841,Software Engineer,US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0,1937.0,,977.0,902.0
12842,Physical Therapist,US,0,0,0,Contract,Not Applicable,Certification,Medical Practice,Health Care Provider,0,3554.0,252.0,86.0,
12843,Physical Therapist,US,0,0,0,Contract,Not Applicable,Certification,Medical Practice,Health Care Provider,0,3548.0,252.0,86.0,
12844,Truck Driver - CDL Truck Driver - Truck Driving Jobs,US,0,1,1,Full-time,Entry level,High School or equivalent,Transportation/Trucking/Railroad,Distribution,0,1356.0,237.0,32.0,
12845,Process Improvement Project Engineering Manager - Major States,US,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Program Development,Engineering,0,249.0,228.0,882.0,
12846,Multiple Positions in Multiple Locations - Data Modeler / Data Architect,US,0,0,0,Contract,Mid-Senior level,,,,0,1124.0,,,
12847,Director - Leader in e-sourcing,US,0,1,0,Full-time,,,Logistics and Supply Chain,,0,1549.0,1231.0,502.0,
12848,Senior Operations Developer,NZ,0,1,1,Full-time,Mid-Senior level,,Information Technology and Services,Information Technology,0,659.0,1981.0,1940.0,
12849,Inventory Taker 11/hr to start ,US,0,0,1,Part-time,Not Applicable,High School or equivalent,Retail,,0,532.0,,215.0,163.0
12850,"Life Insurance Agent - Denver, CO",US,0,1,1,Full-time,Not Applicable,High School or equivalent,Insurance,Sales,0,643.0,882.0,226.0,
12851,PHP/HTML 5 Programmer ,US,0,0,0,Contract,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0,1799.0,,61.0,
12852,Content Writer,NI,0,1,0,Full-time,Entry level,Bachelor's Degree,Writing and Editing,Marketing,0,579.0,695.0,182.0,214.0
12853,Branch Manager In Training - Wisconsin,US,0,1,0,,,,,,0,1427.0,706.0,752.0,1539.0
12854,PL/SQL Developer ,US,0,0,0,Contract,Mid-Senior level,,,,0,1097.0,,326.0,
12855,Oracle Siebel CRM Consultant,US,0,0,0,Contract,Mid-Senior level,,,,0,1498.0,,,
12856,Human Resources Manager,NI,0,1,0,Full-time,Entry level,Bachelor's Degree,Human Resources,Education,0,178.0,695.0,308.0,192.0
12857,Junior .Net Developer,GR,0,1,0,Part-time,Entry level,,Maritime,,0,214.0,567.0,263.0,98.0
12858,Junior Accounts Assistant,GB,0,1,1,Full-time,Entry level,High School or equivalent,Internet,Finance,0,2410.0,545.0,689.0,388.0
12859,Manager-Plastics Mfg Engineering - Full Time Permanent Job,US,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Plastics,Engineering,0,545.0,228.0,957.0,
12860,MicroStrategy- ETL Developer,US,0,0,0,Contract,Mid-Senior level,,,,0,1939.0,,,
12861,SAP SCM (WM/EWM) Consultant,US,0,0,0,Contract,Mid-Senior level,,Information Technology and Services,Consulting,0,756.0,,,
12862,Regional Field Sales Representative  - All Major States,US,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Business Supplies and Equipment,Sales,0,66.0,228.0,346.0,
12863,Manager - Life Sciences Consulting / Project Management,US,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Management Consulting,Consulting,0,2540.0,479.0,498.0,
12864,Backend engineer (first hire),US,1,0,0,Full-time,Mid-Senior level,,Marketing and Advertising,Engineering,0,680.0,,201.0,245.0
12865,Senior PHP Developer,US,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Engineering,0,555.0,877.0,419.0,179.0
12866,Distributed Messaging Architect,US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Information Technology,0,1532.0,704.0,705.0,
12867,Porters - Maintenance ,US,0,1,0,Full-time,Associate,High School or equivalent,Real Estate,Other,0,262.0,237.0,47.0,19.0
12868,Beauty & Fragrance consultants,GB,0,1,0,,,,,,0,720.0,831.0,,
12869,Area Sales Manager - Chennai,IN,0,1,0,Full-time,Associate,Unspecified,Information Technology and Services,Sales,0,1042.0,833.0,1116.0,
12870,Sr. Software Solution Architect,US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0,1471.0,1699.0,327.0,
12871,City Marketing Manager,US,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Marketing and Advertising,Management,0,3344.0,780.0,1052.0,113.0
12872,UI Designer,US,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Design,0,1753.0,976.0,627.0,162.0
12873,UX/UI Designer,US,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Engineering,0,333.0,877.0,835.0,166.0
12874,Manager of Training Curriculum,US,0,0,0,Full-time,,Bachelor's Degree,Information Technology and Services,Information Technology,0,2445.0,472.0,,
12875,Latin America Sales Manager ,US,0,1,0,Full-time,Director,Unspecified,Publishing,Sales,0,863.0,877.0,742.0,311.0
12876,Sales Director,US,1,1,1,Full-time,Director,Associate Degree,Information Technology and Services,Sales,0,1191.0,1051.0,971.0,67.0
12877,Full-Cycle Oil & Gas Recruiter ,US,0,1,1,Full-time,Associate,,Oil & Energy,Human Resources,0,2842.0,893.0,562.0,
12878,Office Administrator,US,0,1,0,,,,,,0,2205.0,456.0,,
12879,Call Center Representative,US,0,1,1,Full-time,Associate,High School or equivalent,Banking,Customer Service,0,737.0,665.0,354.0,446.0
12880,English Teacher Abroad ,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
12881,Outside Sales Professional-Kalamazoo,US,0,1,0,,,,,,0,648.0,706.0,804.0,797.0
12882,New Product Development Project Leader,US,0,0,0,Full-time,,,,,0,2610.0,228.0,,
12883,Licensed Practical Nurse - Part-time & PRN (Asheville Center),US,0,1,1,Part-time,Associate,Professional,Medical Practice,Health Care Provider,0,919.0,553.0,691.0,
12884,List Qualification Specialist,US,0,1,0,Full-time,Entry level,Unspecified,Publishing,Sales,0,628.0,877.0,404.0,148.0
12885,Senior Software Engineer,GB,0,1,1,Full-time,Mid-Senior level,,Internet,Information Technology,0,1004.0,538.0,1497.0,101.0
12886,Birmingham Admin Assistant Apprenticeship Under NAS 16-18 Year Olds Only,GB,0,1,1,Full-time,Not Applicable,High School or equivalent,,Administrative,0,612.0,831.0,70.0,17.0
12887,Magento - Backend Developer,DE,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Consumer Goods,Information Technology,0,521.0,134.0,689.0,
12888,Ad Operations Specialist,US,0,1,1,,,,,,0,1190.0,1114.0,885.0,791.0
12889,Janitors (San Francisco),US,0,1,1,Part-time,,,,,0,236.0,,54.0,50.0
12890,Software Developer - Intermediate to Senior,NZ,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0,713.0,1147.0,1371.0,1396.0
12891,Tax Specialist,US,0,1,1,Other,Not Applicable,Bachelor's Degree,Financial Services,,0,657.0,560.0,856.0,242.0
12892,English Teacher Abroad ,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
12893,Technical Business Analyst,GB,0,1,0,,,,,,0,1531.0,1073.0,666.0,
12894,Editorial Director,US,0,1,0,Full-time,Director,Master's Degree,Publishing,Writing/Editing,0,851.0,877.0,1208.0,259.0
12895,"Sales Professionals, Latin America and Brazil",US,0,1,0,Full-time,Not Applicable,Unspecified,International Trade and Development,Sales,0,732.0,877.0,249.0,486.0
12896,"Manager, Brand Strategy",US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Marketing and Advertising,Business Development,0,1228.0,2973.0,495.0,1320.0
12897,Recovery Specialist-Collections,US,0,0,0,Full-time,,,,,0,2298.0,537.0,659.0,160.0
12898,Account Executive,GB,0,1,0,Full-time,Associate,Bachelor's Degree,Marketing and Advertising,Marketing,0,737.0,1913.0,541.0,1907.0
12899,Xamarin Developer,DE,0,0,0,Full-time,Mid-Senior level,Certification,Information Services,Information Technology,0,384.0,,241.0,127.0
12900,English Teacher Abroad ,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
12901,Mechanical Assembler (Draw Works),US,0,1,0,Full-time,Entry level,,Warehousing,Manufacturing,0,124.0,930.0,947.0,
12902,Sales Reps (US),US,0,1,1,Full-time,,,,,0,458.0,670.0,152.0,369.0
12903,Need a web developer,US,0,0,0,,,,,,0,2298.0,,641.0,
12904,Need Filenet consultants,US,0,0,0,Full-time,,,,,0,1881.0,,1099.0,
12905,Electrical and Instrumentation Maintenance Technician,US,0,1,1,Full-time,Entry level,Vocational,Food Production,Manufacturing,0,1396.0,961.0,835.0,319.0
12906,Sr. Network Engineer,US,0,0,0,Contract,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0,1017.0,,359.0,
12907,Mobile UX/UI Designer,US,0,0,0,Full-time,Mid-Senior level,Unspecified,Consumer Services,Design,0,465.0,,488.0,
12908,"Make $32/hr to $88/hr All Professional Makeup Artists, Hair Stylists, Estheticians, and Massage Therapists",US,0,0,1,Other,,,,,0,3383.0,,,
12909,English Teacher Abroad ,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
12910,English Teacher Overseas,ZA,0,1,0,Contract,,Bachelor's Degree,Education Management,,0,332.0,53.0,157.0,19.0
12911,Business Lead,GB,0,1,1,Full-time,Mid-Senior level,,Design,,0,892.0,464.0,768.0,522.0
12912,Global Alliance Manager,US,0,1,1,Full-time,Not Applicable,Bachelor's Degree,Consumer Electronics,,0,1721.0,539.0,967.0,46.0
12913,Application Developer,US,0,0,0,Full-time,,,Computer Software,,0,2055.0,228.0,,
12914,Market Research (Intern),SG,0,1,1,Full-time,Internship,,,Marketing,0,1406.0,559.0,730.0,521.0
12915,Machine Maintenance Technician,US,0,0,0,Full-time,Mid-Senior level,Unspecified,Mechanical or Industrial Engineering,Engineering,0,905.0,,351.0,
12916,"Asset Manager - Project Management Exp - Tyler, TX",US,0,0,0,Full-time,,,Management Consulting,,0,1099.0,228.0,1808.0,
12917,Internship,GB,0,1,0,,,,,,0,228.0,310.0,,
12918,Service Team Leader,US,0,1,1,Full-time,Mid-Senior level,,Retail,Management,0,846.0,449.0,718.0,49.0
12919,Mortgage Processor - Transaction Coordinator,US,0,1,1,Full-time,,,Financial Services,Finance,0,2664.0,785.0,1012.0,73.0
12920,Senior Financial Analyst,US,0,1,0,Full-time,,Bachelor's Degree,,Financial Analyst,0,2072.0,2313.0,875.0,832.0
12921,Product Marketing,US,0,1,1,Full-time,,Bachelor's Degree,Internet,Marketing,0,4144.0,847.0,912.0,717.0
12922,Driver - Medium Duty (San Diego),US,0,1,1,,,,,Other,0,232.0,1592.0,3827.0,
12923,Mechanical Engineer,US,0,0,0,Full-time,,,Mechanical or Industrial Engineering,,0,706.0,228.0,,
12924,Legal Administrative Assistant,US,0,1,0,,,,,,0,1471.0,,1298.0,
12925,Support/QA Developer,US,0,1,0,Full-time,,,Information Technology and Services,,0,525.0,914.0,428.0,546.0
12926,Cashier/Receptionist,US,0,1,0,Full-time,Entry level,High School or equivalent,Automotive,Accounting/Auditing,0,545.0,606.0,,
12927,Graduate Creative Developer,GB,0,1,1,Full-time,Entry level,Bachelor's Degree,Marketing and Advertising,Engineering,0,1080.0,2434.0,2335.0,
12928,"Head of Operations, Abu Dhabi",AE,0,1,1,Full-time,,Bachelor's Degree,Information Technology and Services,Information Technology,0,516.0,2794.0,573.0,
12929,Store Manager  - Papa John's Pizza,GB,0,1,1,Full-time,Not Applicable,Unspecified,Food & Beverages,Customer Service,0,956.0,1402.0,800.0,322.0
12930,DevOps / SysAdmin,GR,0,1,0,,,,,,0,993.0,352.0,884.0,191.0
12931,HR Intern,US,0,1,0,Part-time,,,Human Resources,Research,0,930.0,796.0,269.0,213.0
12932,Retail Success Coach,CA,0,1,1,Full-time,Mid-Senior level,,Retail,Customer Service,0,2076.0,1715.0,797.0,620.0
12933,"Clinic Assistant, Swindon & Tetbury",GB,0,1,1,Full-time,,,Hospital & Health Care,Customer Service,0,2013.0,361.0,354.0,
12934,Business Process Analyst,PT,0,1,0,Full-time,Entry level,,Information Technology and Services,General Business,0,308.0,622.0,1017.0,
12935,Licensed Counselor,US,0,1,0,Contract,Mid-Senior level,Professional,Mental Health Care,Health Care Provider,0,1776.0,589.0,86.0,97.0
12936,Java developer,US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0,1975.0,658.0,610.0,1192.0
12937,Senior Interactive Designer,US,0,1,1,Full-time,,,Design,Design,0,1303.0,370.0,438.0,913.0
12938,Account Manager - Luxury Car Brand,GB,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Marketing and Advertising,Marketing,0,1362.0,2434.0,1506.0,
12939,Application Developer - Salesforce,US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0,1649.0,618.0,548.0,906.0
12940,New York Spanish Bilingual Communication Assistant ,US,0,1,1,Part-time,Entry level,High School or equivalent,Telecommunications,Customer Service,0,1191.0,719.0,277.0,469.0
12941,Siebel CRM lead,US,0,0,0,Contract,,,,,0,71.0,,87.0,
12942,Central Receptionist,CA,0,1,1,Other,Entry level,,,,0,813.0,2520.0,1934.0,1103.0
12943,UI Designer,GR,0,0,1,Full-time,Mid-Senior level,Bachelor's Degree,Gambling & Casinos,Management,0,1114.0,,891.0,135.0
12944,Customer Success Engineer,US,0,1,1,Full-time,Associate,Bachelor's Degree,Computer Software,Quality Assurance,0,2471.0,352.0,370.0,1635.0
12945,Project Manager,US,0,1,0,,,,,,0,2168.0,,447.0,
12946,Client Success Manager,US,0,1,1,Full-time,Associate,Bachelor's Degree,Marketing and Advertising,Sales,0,2704.0,1061.0,508.0,43.0
12947,Customer Service Intern (paid),NL,0,1,0,Temporary,Internship,,Information Technology and Services,Customer Service,0,830.0,1073.0,967.0,602.0
12948,Part Time Executive Assistant,US,0,1,0,Part-time,Associate,High School or equivalent,Facilities Services,Administrative,0,874.0,708.0,331.0,69.0
12949,Docketing Manager,US,0,1,0,Full-time,Not Applicable,Bachelor's Degree,Law Practice,Management,0,498.0,271.0,,
12950,System Test Analyst,GB,0,1,0,Full-time,Associate,Bachelor's Degree,Marketing and Advertising,Engineering,0,1142.0,2434.0,2494.0,
12951,Account Manager,US,0,1,1,Full-time,Mid-Senior level,,Marketing and Advertising,,0,1643.0,1632.0,541.0,21.0
12952,Senior UX and Digital Designer/Developer for a Venture Capital Company,GB,0,1,0,Full-time,Mid-Senior level,Unspecified,Internet,Art/Creative,0,770.0,679.0,1761.0,
12953,Marketing Manager,US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Marketing and Advertising,Marketing,0,833.0,873.0,405.0,320.0
12954,Co-Superstar (Asst. Store Manager) - Kenwood Towne Centre,US,0,1,1,Full-time,Associate,,Retail,Management,0,1996.0,822.0,713.0,290.0
12955,Customer Support Intern - German and other languages,GB,0,1,0,,,,,,0,1196.0,516.0,391.0,155.0
12956,Senior Android Developer,DE,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Information Technology,0,242.0,896.0,768.0,411.0
12957,Security Engineer,IN,0,1,1,Full-time,Associate,Bachelor's Degree,Information Technology and Services,Information Technology,0,675.0,705.0,1068.0,237.0
12958,".NET Developer (Visual Studio, Sybase, SQL)",BE,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0,878.0,726.0,400.0,898.0
12959,Senior Informatica Developer,US,0,1,0,Contract,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0,397.0,891.0,78.0,48.0
12960,Infrastructure Engineer,US,0,1,0,Full-time,Mid-Senior level,,Computer Software,Engineering,0,1281.0,607.0,440.0,352.0
12961,Sales & Marketing Manager - Business Management Exp Database - CT,US,0,0,0,Full-time,,,Marketing and Advertising,,0,1693.0,228.0,3248.0,
12962,Visual Design Intern,US,0,1,1,Contract,Internship,Some College Coursework Completed,Design,Art/Creative,0,1066.0,1285.0,807.0,
12963,"Sr. Engineer, Android ",IN,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0,1287.0,231.0,1143.0,485.0
12964,English Teacher Abroad ,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
12965,Operations Manager,US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Sports,Management,0,1776.0,410.0,429.0,227.0
12966,Head of Product Design,NZ,0,1,1,Full-time,Mid-Senior level,,Computer Software,Engineering,0,2554.0,1715.0,1272.0,
12967,Bilingual Sales Professional - Spanish/English,US,0,1,0,,,Unspecified,Publishing,Sales,0,217.0,877.0,1453.0,527.0
12968,Mortgage Closer,US,0,1,1,Full-time,Mid-Senior level,Associate Degree,Financial Services,Finance,0,430.0,665.0,300.0,218.0
12969,Recruitment Manager,DK,0,1,1,Full-time,Associate,Bachelor's Degree,Venture Capital & Private Equity,Human Resources,0,809.0,389.0,500.0,
12970,Account Executive ,US,0,1,0,Full-time,Associate,Bachelor's Degree,Computer Software,Sales,0,2820.0,1242.0,777.0,407.0
12971,Senior Business Development Manager Europe,DE,0,1,0,Full-time,,,,,0,1007.0,134.0,771.0,197.0
12972,Analista de Recursos Humanos,PA,0,1,1,Full-time,Associate,Professional,Retail,Human Resources,0,200.0,238.0,293.0,24.0
12973,Director of Finance,US,0,1,0,,,,,,0,2339.0,621.0,526.0,
12974,Ecommerce Assistant,GB,0,1,0,Full-time,Entry level,Bachelor's Degree,Retail,Other,0,1616.0,448.0,946.0,
12975,Chief Marketing Officer (CMO),DE,0,1,0,Full-time,Executive,Master's Degree,Internet,Management,0,573.0,302.0,500.0,579.0
12976,Engagement Manager (Zambia),ZM,0,1,0,Full-time,Mid-Senior level,Master's Degree,Telecommunications,Sales,0,1289.0,2678.0,1066.0,247.0
12977,Junior Web Designer,CA,0,1,1,Full-time,Entry level,Bachelor's Degree,Internet,Design,0,982.0,538.0,514.0,538.0
12978,Technical Support Representative,US,0,1,0,Full-time,Entry level,Bachelor's Degree,Apparel & Fashion,,0,1519.0,1333.0,842.0,388.0
12979,Engineering Director,GB,0,1,0,Full-time,Director,,Online Media,,0,3113.0,612.0,,
12980,Manchester Fragrance and Beauty Promotional Staff,GB,0,1,1,Temporary,Associate,Unspecified,Cosmetics,Sales,0,1020.0,831.0,34.0,22.0
12981,Front End Developer,GB,0,1,0,Full-time,Mid-Senior level,Unspecified,Banking,Engineering,0,1465.0,,963.0,786.0
12982,Meditech Lab LIS Analyst,US,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Hospital & Health Care,Information Technology,0,760.0,,37.0,
12983,Tourism Content Writer - Freelance,US,1,1,1,Contract,Not Applicable,Unspecified,Writing and Editing,Marketing,0,2566.0,847.0,603.0,
12984,Elearning Developer/Instructional Designer,GR,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,E-Learning,Information Technology,0,937.0,712.0,201.0,109.0
12985,Flash Developer ,GB,0,1,0,Full-time,Mid-Senior level,Unspecified,Computer Software,Engineering,0,795.0,1272.0,1210.0,2161.0
12986,Customer Experience Partner,US,0,1,1,Full-time,Entry level,High School or equivalent,Wholesale,Customer Service,0,2018.0,589.0,601.0,80.0
12987,Web Developer,US,0,1,1,Full-time,,Unspecified,Computer & Network Security,Marketing,0,291.0,322.0,1217.0,89.0
12988,"Electrical Reliability Specialist - CMMS EAM MS Office - Memphis, TN",US,0,0,0,Full-time,,,,,0,1218.0,228.0,1988.0,
12989,User Experience Lead,GB,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Design,Design,0,1897.0,1823.0,754.0,380.0
12990,Sales manager,ZA,0,0,0,Full-time,Mid-Senior level,Associate Degree,Education Management,Sales,0,206.0,,113.0,144.0
12991,Languages & Communications Manager,GB,0,1,1,,,,,,0,2549.0,516.0,582.0,423.0
12992,CNC Mastercam Programmer,US,0,0,0,Full-time,,,,Engineering,0,855.0,228.0,727.0,
12993,Head of Engineering - Social Media Start-Up!,US,0,0,0,Full-time,Director,Bachelor's Degree,Computer Software,Information Technology,0,1822.0,,735.0,149.0
12994,Backend Engineer/DevOps ,GR,0,1,1,Full-time,Entry level,Bachelor's Degree,Information Technology and Services,Engineering,0,830.0,352.0,518.0,175.0
12995,"Home Health Aide--Grants, NM",US,0,1,0,,,,,,0,690.0,876.0,,
12996,Specimen Preparation/Collection Tech,US,0,0,0,,,,,,0,16929.0,,,
12997,Senior PowerBuilder Developer ,BE,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0,822.0,726.0,519.0,897.0
12998,Junior Analyst,ES,0,1,1,Full-time,Not Applicable,,Architecture & Planning,Other,0,1162.0,535.0,1401.0,
12999,Advanced Embedded Software Engineer,MX,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Automotive,Engineering,0,889.0,2718.0,877.0,118.0
13000,Mobile Display Manager,DE,0,1,1,Full-time,,,,Marketing,0,469.0,651.0,336.0,356.0
13001,Digital PR Executive,GB,0,1,0,Full-time,Mid-Senior level,,Apparel & Fashion,,0,2424.0,584.0,1473.0,
13002,Software Developer for VoIP Platform,GR,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Telecommunications,Engineering,0,827.0,746.0,1155.0,129.0
13003,Care Assistant,GB,0,1,1,Full-time,Entry level,Unspecified,Hospital & Health Care,Health Care Provider,0,897.0,729.0,172.0,320.0
13004,Training Associate,US,0,0,0,Full-time,Associate,Bachelor's Degree,Management Consulting,Training,0,1393.0,,907.0,
13005,Cleaner Recruitment Associate,IE,0,1,0,Part-time,,,,,0,1391.0,251.0,407.0,217.0
13006,Sr. Accountant/Financial Analyst,US,0,1,0,Full-time,Associate,Bachelor's Degree,,Accounting/Auditing,0,917.0,,702.0,
13007,Support Engineer,US,0,1,0,Full-time,,,Information Services,Engineering,0,755.0,540.0,491.0,
13008,Auditor,US,0,0,0,Full-time,,,Accounting,,0,1173.0,228.0,,
13009,"Security Manager - Linux Oracle CISSP - Minneapolis, MN",US,0,0,0,Full-time,,,Management Consulting,,0,167.0,228.0,1825.0,
13010,Content & Training Associate,US,0,1,1,Full-time,Associate,Bachelor's Degree,Nonprofit Organization Management,Training,0,2376.0,594.0,1167.0,815.0
13011,Branch Associate,US,0,1,1,Full-time,Associate,High School or equivalent,Banking,Customer Service,0,615.0,665.0,410.0,446.0
13012,English Teacher Abroad ,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
13013,Independent Travel Agent - payment on commission,GR,0,0,0,Contract,Mid-Senior level,Unspecified,"Leisure, Travel & Tourism",Sales,0,219.0,,421.0,188.0
13014,Digital Senior Account Manager,GB,0,1,0,Full-time,Director,,Automotive,Marketing,0,4209.0,1106.0,1878.0,
13015,OUD 11: SummaView zoekt een Business Controller,NL,0,1,1,,,,,Business Analyst,0,1566.0,553.0,395.0,811.0
13016,".Net Developer - C# SQL SOA SSIS - Albany, NY",US,0,0,0,Full-time,,,Computer Software,,0,1388.0,228.0,631.0,
13017,Senior QC Specialist,EG,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0,745.0,1321.0,633.0,
13018,Director of Content Marketing,US,0,1,1,Full-time,Entry level,Unspecified,Marketing and Advertising,Marketing,0,2113.0,159.0,898.0,625.0
13019,Backend Software Engineer,NL,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Engineering,0,942.0,367.0,260.0,145.0
13020,"Data Warehouse Developer (SQL server, T-SQL)",SE,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0,847.0,726.0,853.0,897.0
13021,We are recruiting fragrance and beauty promotional staff in Leeds,GB,0,1,0,Temporary,,,Cosmetics,,0,809.0,831.0,,
13022,Quality Assurance Manager,US,0,0,0,Full-time,,,,,0,814.0,228.0,,
13023,C# .NET Platform Engineer for Growing Healthcare IT Startup,US,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Engineering,0,1874.0,274.0,735.0,180.0
13024,SI-Software Developer,US,0,1,0,Contract,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0,1365.0,,1384.0,
13025,UX/UI Designer,IT,0,1,1,Full-time,Associate,Unspecified,Design,Art/Creative,0,1137.0,317.0,1046.0,216.0
13026,Telemarketer,NZ,0,0,1,Part-time,Entry level,Unspecified,Facilities Services,Sales,0,1068.0,1642.0,,1589.0
13027,Junior Conversion Consultant,GB,0,1,0,Full-time,Entry level,,Marketing and Advertising,Marketing,0,1775.0,586.0,1118.0,722.0
13028,Recovery Specialists,US,0,1,0,Full-time,Associate,,Financial Services,,0,1139.0,1025.0,860.0,665.0
13029,Web Developer,US,0,0,0,Full-time,Mid-Senior level,Unspecified,Retail,Engineering,0,669.0,,141.0,82.0
13030,VP of Engineering,US,0,1,0,Full-time,Director,,,Engineering,0,473.0,475.0,550.0,173.0
13031,STAFF NURSE ,US,0,1,0,Full-time,Not Applicable,,,,0,2719.0,731.0,744.0,67.0
13032,Marketing Intern,GB,0,1,0,Other,Internship,Unspecified,Marketing and Advertising,Marketing,0,1014.0,1272.0,742.0,
13033,Bowling / Sales assistant,AE,0,1,0,,,,Hospitality,,0,1184.0,789.0,270.0,
13034,Passport and Visa Specialist,US,0,1,0,Full-time,Entry level,Associate Degree,"Leisure, Travel & Tourism",Administrative,0,573.0,492.0,221.0,678.0
13035,Medicare Assistance Counselor ,US,0,1,0,Full-time,Associate,High School or equivalent,Hospital & Health Care,Administrative,0,633.0,1811.0,2461.0,
13036,Manager of Process Design and Improvement,US,0,0,0,Full-time,Director,Bachelor's Degree,,Information Technology,0,3265.0,472.0,1.0,
13037,Senior Product Marketing Manager ,DK,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Translation and Localization,Product Management,0,2151.0,335.0,1036.0,558.0
13038,Motion Trajectory Analysis,US,0,1,1,,,,,,0,614.0,1447.0,,
13039,Director of Youth Ministry,US,0,1,1,Full-time,Entry level,Unspecified,,,0,3459.0,870.0,583.0,66.0
13040,Head of Online Marketing,DE,0,1,0,Full-time,Mid-Senior level,Certification,Information Technology and Services,Management,0,1654.0,134.0,671.0,463.0
13041,Product Engineering Manager,HK,0,1,0,Full-time,Entry level,Bachelor's Degree,Internet,,0,470.0,327.0,248.0,196.0
13042,Front End Engineer,US,0,0,0,Full-time,Mid-Senior level,,Information Technology and Services,,0,799.0,,,
13043,"Clinical Optometrist, North West London",GB,0,1,1,Other,Not Applicable,Bachelor's Degree,Hospital & Health Care,Other,0,1215.0,361.0,1156.0,
13044,Chief Financial Officer,US,0,1,0,Full-time,,Bachelor's Degree,Education Management,Finance,0,2383.0,796.0,707.0,69.0
13045,Home Inspector/ Consultant,US,0,1,0,Full-time,Entry level,High School or equivalent,Insurance,Consulting,0,120.0,237.0,89.0,83.0
13046,"Home Health RN--Hondo, NM",US,0,1,0,,,,,,0,540.0,876.0,,
13047,IT Security,US,0,0,0,Full-time,,,Information Technology and Services,,0,780.0,228.0,,
13048,Technical Founder,FR,0,1,1,,,,,,0,1095.0,350.0,398.0,
